fecha_operacion,fecha_cargo,descripcion,monto_mxn,tarjeta,categoria,subcategoria,es_abono,notas
2026-09-14,2026-09-14,AMAZON A MESES CIUDAD DE MEX,226.53,adicional ···8020,Compras a meses (MSI),Cuota mensual,False,Cuota 1/3; original $679.61
2026-08-25,2026-08-26,SU PAGO GRACIAS,-28936.94,titular ···1157,Pagos y abonos,Pago / cashback,True,
2026-08-18,2026-08-19,BAR HOSTERIA LA BOTA,913.0,titular ···1157,Restaurantes y cafés,Bar / restaurante,False,
2026-08-18,2026-08-20,OXXO TIZAPAN,77.0,titular ···1157,Conveniencia,Tienda de conveniencia,False,
2026-08-20,2026-08-20,PGA*PAGA AGR CDM,110.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-08-20,2026-08-21,FARM GUAD 1411,1049.4,titular ···1157,Farmacia y salud,Farmacia,False,
2026-08-20,2026-08-21,BODEGA BOLIVAR,392.5,titular ···1157,Supermercado,Hiper / super,False,
2026-08-21,2026-08-24,PALACIO HIERRO CENTRO,341.0,titular ···1157,Compras personales,Retail / moda,False,
2026-08-21,2026-08-24,D LOCAL*SOFT DRALI,1600.0,titular ···1157,Compras personales,Marketplace / delivery,False,
2026-08-21,2026-08-24,LIVERPOOL CENTRO,319.2,titular ···1157,Compras personales,Retail / moda,False,
2026-08-22,2026-08-24,NETFLIX Bogota CO,251.23,titular ···1157,Suscripciones,Streaming / software,False,COP convertido
2026-08-22,2026-08-24,GANDHI MADERO,808.0,titular ···1157,Entretenimiento,Cine / cultura,False,
2026-08-23,2026-08-24,BPK*RESTCAFE COMUNIDAD,517.0,titular ···1157,Restaurantes y cafés,Bar / restaurante,False,
2026-08-23,2026-08-24,BAR HOSTERIA LA BOTA,510.0,titular ···1157,Restaurantes y cafés,Bar / restaurante,False,
2026-08-24,2026-08-24,PGA*PAGA AGR CDM,63.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-08-24,2026-08-25,F AHORRO MXAS AGUASCA,1102.0,titular ···1157,Farmacia y salud,Farmacia,False,
2026-08-24,2026-08-25,GNC TDA NAT 112,1639.53,titular ···1157,Farmacia y salud,Suplementos,False,
2026-08-24,2026-08-25,OXXO TIZAPAN,658.0,titular ···1157,Conveniencia,Tienda de conveniencia,False,
